iter	Passed	Remaining
0	1	1272
1	2	1307
2	3	1181
3	5	1291
4	7	1428
5	8	1419
6	9	1371
7	10	1319
8	11	1295
9	12	1244
10	13	1221
11	14	1187
12	15	1163
13	16	1167
14	17	1160
15	18	1143
16	20	1162
17	21	1174
18	22	1170
19	23	1158
20	24	1147
21	25	1138
22	26	1129
23	27	1118
24	28	1109
25	29	1101
26	30	1093
27	31	1093
28	32	1092
29	33	1088
30	35	1117
31	37	1133
32	38	1131
33	39	1122
34	40	1116
35	41	1110
36	42	1107
37	43	1101
38	44	1097
39	45	1094
40	46	1095
41	48	1097
42	49	1111
43	51	1114
44	52	1111
45	53	1103
46	54	1096
47	55	1094
48	56	1087
49	56	1081
50	57	1074
51	58	1068
52	59	1062
53	60	1066
54	61	1062
55	62	1060
56	64	1069
57	65	1070
58	66	1067
59	67	1064
60	68	1060
61	69	1055
62	71	1056
63	71	1052
64	73	1050
65	73	1046
66	74	1043
67	76	1044
68	77	1047
69	78	1048
70	80	1053
71	81	1052
72	82	1051
73	83	1048
74	84	1046
75	86	1047
76	87	1043
77	87	1039
78	88	1036
79	89	1034
80	90	1030
81	91	1026
82	92	1020
83	93	1018
84	94	1017
85	96	1022
86	97	1024
87	98	1023
88	99	1019
89	100	1016
90	101	1013
91	102	1010
92	103	1010
93	105	1016
94	107	1020
95	108	1020
96	109	1019
97	110	1020
98	112	1020
99	113	1020
100	114	1017
101	115	1017
102	116	1016
103	117	1013
104	118	1012
105	120	1013
106	121	1015
107	127	1054
108	128	1051
109	130	1051
110	131	1049
111	132	1048
112	133	1045
113	134	1042
114	135	1041
115	136	1042
116	139	1049
117	141	1056
118	142	1056
119	144	1056
120	145	1056
121	146	1052
122	147	1051
123	148	1048
124	149	1047
125	150	1045
126	152	1047
127	156	1064
128	157	1065
129	159	1066
130	160	1063
131	161	1059
132	162	1056
133	162	1052
134	164	1052
135	166	1060
136	169	1065
137	170	1068
138	172	1067
139	173	1067
140	175	1067
141	176	1064
142	177	1063
143	178	1063
144	180	1064
145	182	1066
146	184	1072
147	186	1073
148	189	1082
149	191	1086
150	194	1092
151	200	1119
152	205	1137
153	207	1139
154	209	1143
155	211	1146
156	213	1148
157	216	1154
158	219	1158
159	221	1163
160	223	1162
161	226	1170
162	228	1175
163	231	1181
164	234	1184
165	236	1186
166	238	1189
167	241	1196
168	244	1203
169	247	1207
170	249	1211
171	252	1214
172	254	1218
173	257	1223
174	260	1230
175	263	1232
176	265	1234
177	268	1238
178	270	1240
179	273	1247
180	276	1250
181	278	1251
182	280	1252
183	283	1256
184	286	1260
185	288	1264
186	291	1266
187	293	1268
188	295	1268
189	298	1270
190	302	1279
191	305	1284
192	307	1287
193	310	1288
194	312	1289
195	315	1295
196	318	1300
197	321	1301
198	323	1303
199	326	1304
200	328	1307
201	332	1313
202	335	1316
203	337	1317
204	339	1316
205	342	1318
206	345	1322
207	348	1327
208	351	1330
209	354	1332
210	357	1335
211	359	1337
212	362	1341
213	365	1342
214	367	1342
215	370	1344
216	372	1345
217	375	1346
218	377	1345
219	380	1347
220	382	1347
221	385	1349
222	387	1349
223	389	1350
224	391	1349
225	393	1347
226	394	1344
227	396	1342
228	398	1340
229	400	1339
230	402	1338
231	404	1340
232	406	1339
233	408	1337
234	410	1335
235	411	1333
236	413	1331
237	415	1330
238	418	1333
239	421	1333
240	423	1332
241	425	1331
242	426	1329
243	428	1328
244	430	1326
245	433	1328
246	435	1327
247	437	1325
248	438	1322
249	439	1319
250	442	1320
251	445	1321
252	448	1323
253	450	1322
254	451	1319
255	452	1316
256	454	1312
257	455	1308
258	456	1304
259	457	1302
260	459	1301
261	461	1300
262	463	1298
263	464	1295
264	465	1291
265	466	1287
266	467	1283
267	468	1280
268	469	1276
269	470	1273
270	472	1270
271	473	1267
272	476	1267
273	477	1265
274	480	1266
275	482	1266
276	485	1265
277	487	1264
278	489	1265
279	493	1268
280	495	1268
281	497	1266
282	499	1265
283	501	1264
284	504	1264
285	507	1267
286	510	1269
287	512	1268
288	515	1267
289	517	1267
290	521	1270
291	524	1271
292	526	1270
293	528	1268
294	529	1266
295	531	1264
296	533	1262
297	535	1261
298	537	1260
299	539	1258
300	540	1255
301	541	1252
302	543	1249
303	544	1245
304	545	1242
305	546	1238
306	547	1236
307	549	1234
308	551	1232
309	552	1229
310	553	1226
311	554	1222
312	555	1219
313	556	1215
314	557	1212
315	558	1209
316	559	1206
317	561	1203
318	562	1199
319	563	1197
320	566	1197
321	568	1197
322	570	1196
323	572	1195
324	574	1193
325	575	1190
326	577	1188
327	579	1187
328	580	1184
329	581	1181
330	582	1178
331	583	1174
332	584	1171
333	585	1168
334	586	1164
335	587	1161
336	588	1157
337	589	1154
338	590	1152
339	592	1149
340	593	1146
341	594	1144
342	595	1141
343	596	1138
344	597	1134
345	598	1131
346	599	1127
347	600	1124
348	600	1121
349	601	1117
350	602	1114
351	604	1112
352	605	1110
353	607	1108
354	609	1106
355	610	1105
356	613	1104
357	615	1103
358	616	1101
359	617	1098
360	618	1095
361	619	1092
362	620	1089
363	622	1087
364	623	1084
365	625	1082
366	626	1080
367	627	1077
368	628	1075
369	629	1072
370	631	1070
371	632	1067
372	634	1067
373	637	1066
374	639	1065
375	641	1064
376	643	1064
377	645	1061
378	646	1059
379	647	1056
380	648	1054
381	650	1051
382	651	1049
383	653	1048
384	655	1046
385	656	1043
386	657	1040
387	658	1038
388	659	1036
389	660	1033
390	661	1030
391	663	1028
392	664	1026
393	665	1023
394	668	1023
395	671	1023
396	673	1023
397	676	1023
398	679	1023
399	682	1023
400	685	1023
401	688	1023
402	689	1022
403	691	1019
404	692	1016
405	693	1014
406	694	1012
407	695	1009
408	697	1007
409	698	1005
410	700	1003
411	701	1000
412	702	998
413	704	997
414	706	995
415	708	994
416	711	994
417	713	993
418	716	992
419	717	990
420	718	988
421	720	986
422	721	984
423	723	982
424	724	980
425	726	978
426	727	976
427	728	974
428	730	971
429	731	969
430	733	968
431	735	967
432	737	965
433	740	965
434	743	965
435	745	964
436	747	963
437	749	961
438	751	960
439	753	959
440	757	959
441	759	959
442	761	957
443	764	956
444	765	955
445	768	954
446	769	952
447	772	951
448	773	949
449	775	947
450	776	945
451	777	943
452	779	941
453	781	939
454	783	938
455	786	938
456	790	939
457	792	938
458	795	937
459	797	936
460	801	936
461	803	936
462	806	935
463	808	933
464	810	932
465	813	932
466	816	932
467	820	932
468	822	931
469	824	930
470	827	929
471	830	928
472	832	927
473	834	925
474	835	923
475	836	921
476	838	918
477	839	916
478	840	914
479	841	911
480	843	910
481	845	908
482	846	905
483	847	903
484	848	900
485	849	897
486	849	895
487	850	892
488	851	889
489	852	887
490	853	884
491	854	882
492	855	879
493	856	877
494	858	875
495	859	873
496	860	870
497	861	868
498	862	865
499	862	862
500	863	860
501	864	857
502	865	855
503	866	852
504	867	850
505	868	847
506	869	845
507	870	842
508	871	840
509	872	838
510	873	836
511	874	833
512	875	831
513	876	828
514	877	826
515	878	823
516	879	821
517	880	819
518	881	816
519	882	814
520	883	812
521	885	811
522	888	810
523	890	809
524	893	808
525	895	806
526	897	805
527	899	804
528	902	803
529	905	803
530	907	801
531	908	799
532	910	797
533	911	795
534	913	793
535	915	792
536	919	792
537	921	791
538	923	789
539	925	788
540	927	787
541	930	786
542	933	785
543	937	785
544	939	784
545	941	783
546	944	782
547	948	781
548	951	781
549	953	780
550	956	779
551	959	778
552	961	777
553	964	776
554	965	774
555	967	772
556	968	770
557	970	768
558	971	766
559	973	764
560	975	762
561	976	761
562	978	759
563	980	758
564	981	756
565	983	753
566	984	751
567	985	749
568	986	747
569	987	745
570	988	742
571	989	740
572	991	738
573	992	736
574	993	734
575	994	732
576	995	730
577	996	727
578	998	725
579	999	723
580	1000	721
581	1001	719
582	1002	717
583	1003	714
584	1005	713
585	1006	711
586	1008	709
587	1010	708
588	1012	706
589	1014	705
590	1016	703
591	1018	701
592	1019	699
593	1020	697
594	1022	695
595	1023	693
596	1025	691
597	1027	690
598	1029	689
599	1031	687
600	1032	685
601	1034	683
602	1035	681
603	1037	679
604	1038	677
605	1039	675
606	1040	673
607	1041	671
608	1042	669
609	1043	667
610	1044	665
611	1045	663
612	1047	661
613	1048	659
614	1050	657
615	1052	655
616	1053	653
617	1054	651
618	1056	650
619	1057	647
620	1058	645
621	1058	643
622	1059	641
623	1061	639
624	1062	637
625	1064	635
626	1065	634
627	1067	632
628	1068	630
629	1069	628
630	1071	626
631	1072	624
632	1073	622
633	1074	620
634	1075	618
635	1076	616
636	1078	614
637	1079	612
638	1080	610
639	1082	608
640	1084	607
641	1086	605
642	1088	604
643	1090	602
644	1092	601
645	1095	600
646	1097	598
647	1099	597
648	1101	595
649	1104	594
650	1105	592
651	1107	590
652	1108	589
653	1110	587
654	1111	585
655	1112	583
656	1113	581
657	1114	579
658	1115	577
659	1116	575
660	1117	573
661	1118	571
662	1119	569
663	1121	567
664	1122	565
665	1123	563
666	1124	561
667	1126	559
668	1127	557
669	1128	555
670	1129	553
671	1130	551
672	1131	550
673	1132	547
674	1133	545
675	1134	543
676	1136	542
677	1137	540
678	1138	538
679	1140	536
680	1141	534
681	1142	532
682	1143	530
683	1144	528
684	1145	526
685	1146	524
686	1147	523
687	1148	521
688	1149	519
689	1151	517
690	1153	515
691	1154	514
692	1155	512
693	1157	510
694	1158	508
695	1158	506
696	1159	504
697	1160	502
698	1161	500
699	1162	498
700	1163	496
701	1164	494
702	1165	492
703	1166	490
704	1168	488
705	1169	487
706	1170	485
707	1171	483
708	1172	481
709	1173	479
710	1174	477
711	1175	475
712	1176	473
713	1177	471
714	1178	469
715	1179	467
716	1181	466
717	1182	464
718	1184	463
719	1185	461
720	1187	459
721	1188	457
722	1189	455
723	1190	453
724	1191	452
725	1194	450
726	1197	449
727	1199	448
728	1201	446
729	1204	445
730	1206	443
731	1208	442
732	1209	440
733	1210	438
